ID;Age;Overall;Value;Wage;Height;Weight;FKAccuracy;SprintSpeed;Stamina;Strength
158023;31;94;€110.5M;€565K;5'7;159lbs;94;86;72;59
20801;33;94;€77M;€405K;6'2;183lbs;76;91;88;79
190871;26;92;€118.5M;€290K;5'9;150lbs;87;90;81;49
193080;27;91;€72M;€260K;6'4;168lbs;19;58;43;64
192985;27;91;€102M;€355K;5'11;154lbs;83;76;90;75
183277;27;91;€93M;€340K;5'8;163lbs;79;88;83;66
177003;32;91;€67M;€420K;5'8;146lbs;78;72;89;58
176580;31;91;€80M;€455K;6'0;190lbs;84;75;90;83
155862;32;91;€51M;€380K;6'0;181lbs;72;75;84;83
200389;25;90;€68M;€94K;6'2;192lbs;14;60;41;78
188545;29;90;€77M;€205K;6'0;176lbs;86;78;78;84
182521;28;90;€76.5M;€355K;6'0;168lbs;84;62;75;73
182493;32;90;€44M;€125K;6'2;172lbs;51;68;66;88
168542;32;90;€60M;€285K;5'8;148lbs;77;64;78;52
215914;27;89;€63M;€225K;5'6;159lbs;49;78;96;76
211110;24;89;€89M;€205K;5'10;165lbs;88;83;80;65
202126;24;89;€83.5M;€205K;6'2;196lbs;68;72;89;84
194765;27;89;€78M;€145K;5'9;161lbs;78;85;83;62
192448;26;89;€58M;€240K;6'2;187lbs;12;50;35;79
192119;26;89;€53.5M;€240K;6'6;212lbs;20;52;38;70
189511;29;89;€51.5M;€315K;6'2;168lbs;68;52;86;77
179813;31;89;€60M;€200K;6'1;170lbs;76;76;92;78
167495;32;89;€38M;€130K;6'4;203lbs;11;60;43;80
153079;30;89;€64.5M;€300K;5'8;154lbs;73;80;76;73
138956;33;89;€27M;€215K;6'2;187lbs;31;75;65;89
231747;19;88;€81M;€100K;5'10;161lbs;63;96;83;71
209331;26;88;€69.5M;€255K;5'9;157lbs;60;91;84;70
200145;26;88;€59.5M;€285K;6'1;185lbs;74;65;87;89
198710;26;88;€69.5M;€315K;5'11;172lbs;86;67;70;68
198219;27;88;€62M;€165K;5'4;130lbs;77;86;75;44
197781;26;88;€73.5M;€315K;5'9;174lbs;76;69;70;59
190460;26;88;€73.5M;€205K;5'11;168lbs;87;73;92;58
189242;26;88;€69.5M;€340K;5'8;150lbs;86;75;79;61
188567;29;88;€59M;€265K;6'2;176lbs;74;95;76;76
178603;29;88;€46M;€160K;6'3;203lbs;53;64;66;84
176676;30;88;€43M;€285K;5'9;176lbs;67;82;91;78
173731;28;88;€60M;€355K;6'1;181lbs;87;95;75;80
167948;31;88;€36M;€150K;6'2;181lbs;10;62;41;43
167664;30;88;€57M;€245K;6'1;196lbs;62;73;70;85
164240;33;88;€24M;€165K;6'0;181lbs;64;72;74;82
162835;33;88;€30M;€110K;6'4;203lbs;14;55;41;71
1179;40;88;€4M;€77K;6'4;203lbs;13;43;39;69
205600;24;87;€57M;€205K;6'0;165lbs;62;73;78;84
201399;25;87;€64.5M;€130K;5'11;165lbs;45;78;72;76
201024;27;87;€51M;€115K;6'2;196lbs;28;75;71;94
195864;25;87;€64M;€210K;6'4;185lbs;82;79;88;89
193041;31;87;€30.5M;€195K;6'1;176lbs;15;53;39;75
192505;25;87;€62.5M;€230K;6'3;207lbs;66;90;84;94
192387;28;87;€52M;€115K;6'1;187lbs;51;85;80;76
189332;29;87;€38M;€250K;5'7;150lbs;63;93;91;61
175943;31;87;€45M;€135K;5'7;134lbs;79;85;75;42
172871;31;87;€34M;€155K;6'2;190lbs;73;65;75;79
171877;30;87;€46.5M;€125K;6'0;174lbs;72;68;84;67
168651;30;87;€46.5M;€260K;6'0;172lbs;84;59;84;66
