Wyniki

For k = 2, category: places, metric: EuclideanMetric ,  correct are: 81,26009
For k = 2, category: places, metric: ChebyshevMetric ,  correct are: 78,19063
For k = 2, category: places, metric: ManhattanMetric ,  correct are: 79,91384

For k = 3, category: places, metric: EuclideanMetric ,  correct are: 85,29887
For k = 3, category: places, metric: ChebyshevMetric ,  correct are: 82,3371
For k = 3, category: places, metric: ManhattanMetric ,  correct are: 83,89876

For k = 5, category: places, metric: EuclideanMetric ,  correct are: 85,35272
For k = 5, category: places, metric: ChebyshevMetric ,  correct are: 82,82175
For k = 5, category: places, metric: ManhattanMetric ,  correct are: 83,73721

For k = 7, category: places, metric: EuclideanMetric ,  correct are: 85,19117
For k = 7, category: places, metric: ChebyshevMetric ,  correct are: 83,03716
For k = 7, category: places, metric: ManhattanMetric ,  correct are: 83,52181

For k = 10, category: places, metric: EuclideanMetric ,  correct are: 84,54497
For k = 10, category: places, metric: ChebyshevMetric ,  correct are: 82,76791
For k = 10, category: places, metric: ManhattanMetric ,  correct are: 82,71406

For k = 15, category: places, metric: EuclideanMetric ,  correct are: 83,62951
For k = 15, category: places, metric: ChebyshevMetric ,  correct are: 82,55251
For k = 15, category: places, metric: ManhattanMetric ,  correct are: 81,96015

For k = 20, category: places, metric: EuclideanMetric ,  correct are: 83,25256
For k = 20, category: places, metric: ChebyshevMetric ,  correct are: 82,014
For k = 20, category: places, metric: ManhattanMetric ,  correct are: 81,74475




For k = 2, category: topics, metric: EuclideanMetric ,  correct are: 54,34783
For k = 2, category: topics, metric: ChebyshevMetric ,  correct are: 43,47826
For k = 2, category: topics, metric: ManhattanMetric ,  correct are: 52,17391

For k = 3, category: topics, metric: EuclideanMetric ,  correct are: 58,69565
For k = 3, category: topics, metric: ChebyshevMetric ,  correct are: 47,82609
For k = 3, category: topics, metric: ManhattanMetric ,  correct are: 54,34783

For k = 5, category: topics, metric: EuclideanMetric ,  correct are: 47,82609
For k = 5, category: topics, metric: ChebyshevMetric ,  correct are: 45,65217
For k = 5, category: topics, metric: ManhattanMetric ,  correct are: 52,17391

For k = 7, category: topics, metric: EuclideanMetric ,  correct are: 47,82609
For k = 7, category: topics, metric: ChebyshevMetric ,  correct are: 45,65217
For k = 7, category: topics, metric: ManhattanMetric ,  correct are: 47,82609

For k = 10, category: topics, metric: EuclideanMetric ,  correct are: 45,65217
For k = 10, category: topics, metric: ChebyshevMetric ,  correct are: 43,47826
For k = 10, category: topics, metric: ManhattanMetric ,  correct are: 47,82609

For k = 15, category: topics, metric: EuclideanMetric ,  correct are: 39,13044
For k = 15, category: topics, metric: ChebyshevMetric ,  correct are: 32,6087
For k = 15, category: topics, metric: ManhattanMetric ,  correct are: 45,65217

For k = 20, category: topics, metric: EuclideanMetric ,  correct are: 21,73913
For k = 20, category: topics, metric: ChebyshevMetric ,  correct are: 28,26087
For k = 20, category: topics, metric: ManhattanMetric ,  correct are: 23,91304
