Age: Adult -> Fk Accuracy: Decent Free Kick;Q;T_ALL;T1;T2;T3;T4;T5;T6;T7;T8;T9;T10;T11;
Less than 1000 of soccer players being/having Age: Adult are/have Fk Accuracy: Decent Free Kick;Less than 1000;0,921719913273212;1;0,526838417829757;0,483562152133581;0,483562152133581;1;0,94483367352568;0,696861036023611;0,998813923980802;0,256633750758537;0,999558669388205;1;
Around one third of soccer players being/having Age: Adult are/have Fk Accuracy: Decent Free Kick;Around one third;0,635959834241363;0,586701088935185;0,526838417829757;0,483562152133581;0,483562152133581;1;0,84;0,92;0,998813923980802;0,256633750758537;0,999558669388205;1;
Around 40% of soccer players being/having Age: Adult are/have Fk Accuracy: Decent Free Kick;Around 40%;0,496148055647228;0,384398548086419;0,526838417829757;0,483562152133581;0,483562152133581;1;0,88;0,94;0,998813923980802;0,256633750758537;0,999558669388205;1;
Around 1500 of soccer players being/having Age: Adult are/have Fk Accuracy: Decent Free Kick;Around 1500;0,231972575048465;0;0,526838417829757;0,483562152133581;0,483562152133581;1;0,988966734705136;0,994483367352568;0,998813923980802;0,256633750758537;0,999558669388205;1;
Around 3000 of soccer players being/having Age: Adult are/have Fk Accuracy: Decent Free Kick;Around 3000;0,231972575048465;0;0,526838417829757;0,483562152133581;0,483562152133581;1;0,988966734705136;0,994483367352568;0,998813923980802;0,256633750758537;0,999558669388205;1;
More than 5000 of soccer players being/having Age: Adult are/have Fk Accuracy: Decent Free Kick;More than 5000;0,230822357141475;0;0,526838417829757;0,483562152133581;0,483562152133581;1;0,97241683676284;0,972692668395212;0,998813923980802;0,256633750758537;0,999558669388205;1;
Around 20% of soccer players being/having Age: Adult are/have Fk Accuracy: Decent Free Kick;Around 20%;0,227069071986734;0;0,526838417829757;0,483562152133581;0,483562152133581;1;0,88;0,94;0,998813923980802;0,256633750758537;0,999558669388205;1;
Majority of soccer players being/having Age: Adult are/have Fk Accuracy: Decent Free Kick;Majority;0,225719071986734;0;0,526838417829757;0,483562152133581;0,483562152133581;1;0,85;0,925;0,998813923980802;0,256633750758537;0,999558669388205;1;
No of soccer players being/having Age: Adult are/have Fk Accuracy: Decent Free Kick;No;0,225269071986734;0;0,526838417829757;0,483562152133581;0,483562152133581;1;0,84;0,92;0,998813923980802;0,256633750758537;0,999558669388205;1;
All of soccer players being/having Age: Adult are/have Fk Accuracy: Decent Free Kick;All;0,224219071986734;0;0,526838417829757;0,483562152133581;0,483562152133581;1;0,85;0,875;0,998813923980802;0,256633750758537;0,999558669388205;1;
Around half of soccer players being/having Age: Adult are/have Fk Accuracy: Decent Free Kick;Around half;0,223469071986734;0;0,526838417829757;0,483562152133581;0,483562152133581;1;0,8;0,9;0,998813923980802;0,256633750758537;0,999558669388205;1;
Around three quaters of soccer players being/having Age: Adult are/have Fk Accuracy: Decent Free Kick;Around three quaters;0,223469071986734;0;0,526838417829757;0,483562152133581;0,483562152133581;1;0,8;0,9;0,998813923980802;0,256633750758537;0,999558669388205;1;
Less than a third of soccer players being/having Age: Adult are/have Fk Accuracy: Decent Free Kick;Less than a third;0,211769071986734;0;0,526838417829757;0,483562152133581;0,483562152133581;1;0,64;0,67;0,998813923980802;0,256633750758537;0,999558669388205;1;
