Age: Adult -> Stamina: Bad Stamina  OR  Strength: Bad Strength;Q;T_ALL;T1;T2;T3;T4;T5;T6;T7;T8;T9;T10;T11;
Less than 1000 of soccer players being/having Age: Adult are/have Stamina: Bad Stamina OR Strength: Bad Strength;Less than 1000;0,870047735712172;1;0;0,222263450834879;0,0494010415770289;0,5;0,94483367352568;0,696861036023611;0,998706234964466;0,256633750758537;0,999558669388205;1;
Less than a third of soccer players being/having Age: Adult are/have Stamina: Bad Stamina OR Strength: Bad Strength;Less than a third;0,860096894425693;1;0;0,222263450834879;0,0494010415770289;0,5;0,64;0,67;0,998706234964466;0,256633750758537;0,999558669388205;1;
Around 20% of soccer players being/having Age: Adult are/have Stamina: Bad Stamina OR Strength: Bad Strength;Around 20%;0,378033516290806;0,289480888378732;0;0,222263450834879;0,0494010415770289;0,5;0,88;0,94;0,998706234964466;0,256633750758537;0,999558669388205;1;
Around 1500 of soccer players being/having Age: Adult are/have Stamina: Bad Stamina OR Strength: Bad Strength;Around 1500;0,286268346205297;0,151382783882675;0;0,222263450834879;0,0494010415770289;0,5;0,988966734705136;0,994483367352568;0,998706234964466;0,256633750758537;0,999558669388205;1;
No of soccer players being/having Age: Adult are/have Stamina: Bad Stamina OR Strength: Bad Strength;No;0,185108161226276;0,0164446668579756;0;0,222263450834879;0,0494010415770289;0,5;0,84;0,92;0,998706234964466;0,256633750758537;0,999558669388205;1;
Around 3000 of soccer players being/having Age: Adult are/have Stamina: Bad Stamina OR Strength: Bad Strength;Around 3000;0,180300397487425;0;0;0,222263450834879;0,0494010415770289;0,5;0,988966734705136;0,994483367352568;0,998706234964466;0,256633750758537;0,999558669388205;1;
More than 5000 of soccer players being/having Age: Adult are/have Stamina: Bad Stamina OR Strength: Bad Strength;More than 5000;0,179150179580435;0;0;0,222263450834879;0,0494010415770289;0,5;0,97241683676284;0,972692668395212;0,998706234964466;0,256633750758537;0,999558669388205;1;
Around 40% of soccer players being/having Age: Adult are/have Stamina: Bad Stamina OR Strength: Bad Strength;Around 40%;0,175396894425694;0;0;0,222263450834879;0,0494010415770289;0,5;0,88;0,94;0,998706234964466;0,256633750758537;0,999558669388205;1;
Majority of soccer players being/having Age: Adult are/have Stamina: Bad Stamina OR Strength: Bad Strength;Majority;0,174046894425694;0;0;0,222263450834879;0,0494010415770289;0,5;0,85;0,925;0,998706234964466;0,256633750758537;0,999558669388205;1;
Around one third of soccer players being/having Age: Adult are/have Stamina: Bad Stamina OR Strength: Bad Strength;Around one third;0,173596894425694;0;0;0,222263450834879;0,0494010415770289;0,5;0,84;0,92;0,998706234964466;0,256633750758537;0,999558669388205;1;
All of soccer players being/having Age: Adult are/have Stamina: Bad Stamina OR Strength: Bad Strength;All;0,172546894425694;0;0;0,222263450834879;0,0494010415770289;0,5;0,85;0,875;0,998706234964466;0,256633750758537;0,999558669388205;1;
Around half of soccer players being/having Age: Adult are/have Stamina: Bad Stamina OR Strength: Bad Strength;Around half;0,171796894425694;0;0;0,222263450834879;0,0494010415770289;0,5;0,8;0,9;0,998706234964466;0,256633750758537;0,999558669388205;1;
Around three quaters of soccer players being/having Age: Adult are/have Stamina: Bad Stamina OR Strength: Bad Strength;Around three quaters;0,171796894425694;0;0;0,222263450834879;0,0494010415770289;0,5;0,8;0,9;0,998706234964466;0,256633750758537;0,999558669388205;1;
